dataset,recording,item,reason
ds004703,sub-SD011_ses-01_task-PassiveListen,C161,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C162,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C163,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C164,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C165,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C166,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C167,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C168,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C169,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C170,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C171,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C172,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C173,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C174,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C175,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C176,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C177,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C178,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C179,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C180,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C181,README unused C-prefix channel; exclude at S06
