dataset,recording,subject,session,trial,story,n_events,source_events,audio_candidates,audio_path,labels_match,offset_s,max_residual_s,status,physical_audio_sync
ds004703,sub-SD011_ses-01_task-PassiveListen,sub-SD011,ses-01,31,s1001a-ex01,541,541,2,UNKNOWN,True,1361.52290866,2.2737367544323206e-13,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD011_ses-01_task-PassiveListen,sub-SD011,ses-01,32,s3703b-ex01,408,408,2,UNKNOWN,True,1410.30634077,2.2737367544323206e-13,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD011_ses-01_task-PassiveListen,sub-SD011,ses-01,33,s2801a-ex01,743,743,2,UNKNOWN,True,1464.03013235,2.2737367544323206e-13,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD011_ses-01_task-PassiveListen,sub-SD011,ses-01,34,s1604a-ex01,539,539,2,UNKNOWN,True,1534.83638983,2.2737367544323206e-13,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD011_ses-01_task-PassiveListen,sub-SD011,ses-01,35,s0702a-ex01,370,370,2,UNKNOWN,True,1591.840622,2.2737367544323206e-13,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD011_ses-01_task-PassiveListen,sub-SD011,ses-01,36,s3902a-ex01,312,312,2,UNKNOWN,True,1630.19251413,2.2737367544323206e-13,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD011_ses-01_task-PassiveListen,sub-SD011,ses-01,37,s3802a-ex01,362,362,2,UNKNOWN,True,1672.62525517,2.2737367544323206e-13,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD011_ses-01_task-PassiveListen,sub-SD011,ses-01,38,s2102a-ex03,346,346,2,UNKNOWN,True,1792.25906972,2.2737367544323206e-13,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD011_ses-01_task-PassiveListen,sub-SD011,ses-01,39,pleasePressSpace,31,31,2,UNKNOWN,True,1844.7558495400012,5.6843418860808015e-12,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD011_ses-01_task-PassiveListen,sub-SD011,ses-01,40,catalan-f02,437,437,3,UNKNOWN,True,1888.7611649900007,5.6843418860808015e-12,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD011_ses-01_task-PassiveListen,sub-SD011,ses-01,41,s0202b-ex01,671,671,2,UNKNOWN,True,1895.57525474,2.2737367544323206e-13,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD011_ses-01_task-PassiveListen,sub-SD011,ses-01,42,s3102b-ex01,159,159,2,UNKNOWN,True,1963.16335008,2.2737367544323206e-13,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD011_ses-01_task-PassiveListen,sub-SD011,ses-01,43,s1202b-ex01,417,417,2,UNKNOWN,True,2000.69617375,2.2737367544323206e-13,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD011_ses-01_task-PassiveListen,sub-SD011,ses-01,44,s1103a-ex01,443,443,2,UNKNOWN,True,2049.01446015,4.547473508864641e-13,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD011_ses-01_task-PassiveListen,sub-SD011,ses-01,45,s1703b-ex01,431,431,2,UNKNOWN,True,2113.44675511,4.547473508864641e-13,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD011_ses-01_task-PassiveListen,sub-SD011,ses-01,46,s0203b-ex01,505,505,2,UNKNOWN,True,2177.52410383,4.547473508864641e-13,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD011_ses-01_task-PassiveListen,sub-SD011,ses-01,47,s1401b-ex01,664,664,2,UNKNOWN,True,2229.70005794,4.547473508864641e-13,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD011_ses-01_task-PassiveListen,sub-SD011,ses-01,48,pleasePressSpace,31,31,2,UNKNOWN,True,2291.7801232800016,6.366462912410498e-12,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD011_ses-01_task-PassiveListen,sub-SD011,ses-01,49,catalan-m03,488,488,3,UNKNOWN,True,2342.7879575899997,5.4569682106375694e-12,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD011_ses-01_task-PassiveListen,sub-SD011,ses-01,50,s3003a-ex01,371,371,2,UNKNOWN,True,2348.24071439,4.547473508864641e-13,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD011_ses-01_task-PassiveListen,sub-SD011,ses-01,51,s1503a-ex01,430,430,2,UNKNOWN,True,2390.82839916,4.547473508864641e-13,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD011_ses-01_task-PassiveListen,sub-SD011,ses-01,52,s0802b-ex01,328,328,2,UNKNOWN,True,2415.8868899999998,4.547473508864641e-13,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD011_ses-01_task-PassiveListen,sub-SD011,ses-01,53,s1702b-ex01,369,369,2,UNKNOWN,True,2470.58444646,4.547473508864641e-13,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD011_ses-01_task-PassiveListen,sub-SD011,ses-01,54,s0901b-ex01,311,311,2,UNKNOWN,True,2522.67306172,4.547473508864641e-13,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD011_ses-01_task-PassiveListen,sub-SD011,ses-01,55,s2302b-ex01,316,316,2,UNKNOWN,True,2571.15185002,4.547473508864641e-13,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD011_ses-01_task-PassiveListen,sub-SD011,ses-01,56,s3801a-ex01,350,350,2,UNKNOWN,True,2618.57650944,4.547473508864641e-13,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD011_ses-01_task-PassiveListen,sub-SD011,ses-01,57,s0305a-ex01,377,377,2,UNKNOWN,True,2664.72299803,4.547473508864641e-13,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD011_ses-01_task-PassiveListen,sub-SD011,ses-01,58,s1503a-ex02,328,328,2,UNKNOWN,True,2717.59775819,4.547473508864641e-13,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD011_ses-01_task-PassiveListen,sub-SD011,ses-01,59,s1203a-ex01,373,373,2,UNKNOWN,True,2752.79941422,4.547473508864641e-13,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD011_ses-01_task-PassiveListen,sub-SD011,ses-01,60,pleasePressSpace,31,31,2,UNKNOWN,True,2798.1484944300014,6.366462912410498e-12,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD011_ses-01_task-PassiveListen,sub-SD011,ses-01,61,catalan-f03,515,515,3,UNKNOWN,True,2853.15562103,5.002220859751105e-12,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD011_ses-01_task-PassiveListen,sub-SD011,ses-01,62,s3003a-ex02,504,504,2,UNKNOWN,True,2859.32988432,4.547473508864641e-13,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD012_ses-01_task-PassiveListen,sub-SD012,ses-01,0,welcome,20,20,2,UNKNOWN,True,54.34188499089999,4.973799150320701e-14,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD012_ses-01_task-PassiveListen,sub-SD012,ses-01,1,instructions1,377,377,2,UNKNOWN,True,60.99510891,6.394884621840902e-14,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD012_ses-01_task-PassiveListen,sub-SD012,ses-01,2,instructions3,70,70,2,UNKNOWN,True,143.50711768000002,4.831690603168681e-13,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD012_ses-01_task-PassiveListen,sub-SD012,ses-01,3,s1401a-ex01,415,415,2,UNKNOWN,True,151.471103377,2.842170943040401e-14,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD012_ses-01_task-PassiveListen,sub-SD012,ses-01,4,pleasePressSpace,31,31,2,UNKNOWN,True,204.74782093099995,5.115907697472721e-13,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD012_ses-01_task-PassiveListen,sub-SD012,ses-01,5,catalan-m01,468,468,3,UNKNOWN,True,251.75759953399995,5.400124791776761e-13,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD012_ses-01_task-PassiveListen,sub-SD012,ses-01,6,s3602b-ex01,318,318,2,UNKNOWN,True,267.99408822999993,1.1368683772161603e-13,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD012_ses-02_task-PassiveListen,sub-SD012,ses-02,0,welcome,20,20,2,UNKNOWN,True,47.953333890299994,4.973799150320701e-14,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD012_ses-02_task-PassiveListen,sub-SD012,ses-02,1,instructions1,377,377,2,UNKNOWN,True,52.541468055799996,6.394884621840902e-14,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD012_ses-02_task-PassiveListen,sub-SD012,ses-02,2,instructions3,70,70,2,UNKNOWN,True,116.06174431100001,4.689582056016661e-13,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD012_ses-02_task-PassiveListen,sub-SD012,ses-02,3,s4002b-ex01,390,390,2,UNKNOWN,True,126.519807944,4.263256414560601e-14,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD012_ses-02_task-PassiveListen,sub-SD012,ses-02,4,s1401a-ex01,415,415,2,UNKNOWN,True,176.515371631,2.842170943040401e-14,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD012_ses-02_task-PassiveListen,sub-SD012,ses-02,5,s2301a-ex01,206,206,2,UNKNOWN,True,225.392055464,2.842170943040401e-14,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD012_ses-02_task-PassiveListen,sub-SD012,ses-02,6,s1303a-ex01,311,311,2,UNKNOWN,True,258.610866821,5.684341886080802e-14,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD012_ses-02_task-PassiveListen,sub-SD012,ses-02,7,pleasePressSpace,31,31,2,UNKNOWN,True,319.76657211,5.115907697472721e-13,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD012_ses-02_task-PassiveListen,sub-SD012,ses-02,8,catalan-m01,468,468,3,UNKNOWN,True,366.77583716799995,6.252776074688882e-13,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD012_ses-02_task-PassiveListen,sub-SD012,ses-02,9,s2102a-ex01,295,295,2,UNKNOWN,True,386.00297644799997,5.684341886080802e-14,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD012_ses-02_task-PassiveListen,sub-SD012,ses-02,10,s3602b-ex01,318,318,2,UNKNOWN,True,424.59412768499993,1.1368683772161603e-13,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD012_ses-02_task-PassiveListen,sub-SD012,ses-02,11,s1901b-ex01,406,406,2,UNKNOWN,True,470.005549735,5.684341886080802e-14,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD012_ses-02_task-PassiveListen,sub-SD012,ses-02,12,s3001b-ex01,485,485,2,UNKNOWN,True,518.038704047,1.1368683772161603e-13,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD012_ses-02_task-PassiveListen,sub-SD012,ses-02,13,pleasePressSpace,31,31,2,UNKNOWN,True,590.34807991,4.547473508864641e-13,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD012_ses-02_task-PassiveListen,sub-SD012,ses-02,14,catalan-f01,428,428,3,UNKNOWN,True,637.356608137,5.684341886080801e-13,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD012_ses-02_task-PassiveListen,sub-SD012,ses-02,15,s3602b-ex02,288,288,2,UNKNOWN,True,664.115727374,1.1368683772161603e-13,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD012_ses-02_task-PassiveListen,sub-SD012,ses-02,16,s3903b-ex01,301,301,2,UNKNOWN,True,707.249000718,1.1368683772161603e-13,HOLD,UNKNOWN: metadata alignment only
