recording,channel,type,original_unit,mne_data_unit,samples,nonfinite,min_value,max_value,eligible,reasons,scan
sub-SD010_ses-01_task-PassiveListen,T5,EEG,uV,SI volts for voltage channels,2718016,0,-0.00033961402304112306,0.0003305753719386587,False,OFFICIAL_BAD:noise,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,O1,EEG,uV,SI volts for voltage channels,2718016,0,-0.008711,0.008711,False,OFFICIAL_BAD:noise,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,A1,EEG,uV,SI volts for voltage channels,2718016,0,-0.0005100191805905241,0.0005724922102693217,False,OFFICIAL_BAD:noise,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,F3,EEG,uV,SI volts for voltage channels,2718016,0,-0.0007782544441901273,0.0004398367132066834,False,OFFICIAL_BAD:noise,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,C3,EEG,uV,SI volts for voltage channels,2718016,0,-0.00022264324406805525,0.0003871998626688029,False,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,P3,EEG,uV,SI volts for voltage channels,2718016,0,-0.00025215178149080647,0.00021546549172198057,False,OFFICIAL_BAD:noise,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,Fz,EEG,uV,SI volts for voltage channels,2718016,0,-0.00024577155718318456,0.00023194773785000379,False,OFFICIAL_BAD:noise,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,Cz,EEG,uV,SI volts for voltage channels,2718016,0,-0.0009324431982909896,0.00048609333943694204,False,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,PZ,EEG,uV,SI volts for voltage channels,2718016,0,-0.008711,0.008711,False,OFFICIAL_BAD:noise,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,Fp2,EEG,uV,SI volts for voltage channels,2718016,0,-0.00044568525215533684,0.0007450241092545967,False,OFFICIAL_BAD:noise,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,F8,EEG,uV,SI volts for voltage channels,2718016,0,-0.008711,0.008711,False,OFFICIAL_BAD:noise,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,T4,EEG,uV,SI volts for voltage channels,2718016,0,-0.000721364110780499,0.0003552987411306935,False,OFFICIAL_BAD:noise,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,T2,EEG,uV,SI volts for voltage channels,2718016,0,-0.008711,0.008711,False,OFFICIAL_BAD:noise,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,T6,EEG,uV,SI volts for voltage channels,2718016,0,-0.0005924304112306402,0.0005889744563973449,False,OFFICIAL_BAD:noise,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,O2,EEG,uV,SI volts for voltage channels,2718016,0,-0.00014980234988937213,0.0001229522392614633,False,OFFICIAL_BAD:noise,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,A2,EEG,uV,SI volts for voltage channels,2718016,0,-0.0010797200427252612,0.00041750592813000686,False,OFFICIAL_BAD:noise,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,F4,EEG,uV,SI volts for voltage channels,2718016,0,-0.0008675775844968338,0.0005536173800259403,False,OFFICIAL_BAD:noise,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,C4,EEG,uV,SI volts for voltage channels,2718016,0,-0.00048290322728313114,0.00016336032654306855,False,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,P4,EEG,uV,SI volts for voltage channels,2718016,0,-0.00043584907301441974,0.00019818571755550465,False,OFFICIAL_BAD:noise,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,EKG2,ECG,uV,SI volts for voltage channels,2718016,0,-0.002354169848172732,0.0016996651712825207,False,NOT_NEURAL_CHANNEL,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,EKG4,ECG,uV,SI volts for voltage channels,2718016,0,-0.0022893042343785763,0.006326125322346837,False,NOT_NEURAL_CHANNEL,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,C136,OTHER,uV,SI volts for voltage channels,2718016,0,-0.0008705018539711605,0.0002582661631189441,False,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,C137,OTHER,uV,SI volts for voltage channels,2718016,0,-0.0005969497367818722,0.00019472976272220946,False,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,C138,OTHER,uV,SI volts for voltage channels,2718016,0,-0.005530458182650491,0.008711,False,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,C139,OTHER,uV,SI volts for voltage channels,2718016,0,-0.003764731105516136,0.004030307942320897,False,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,C140,OTHER,uV,SI volts for voltage channels,2718016,0,-0.005196825619897764,0.004093844342717631,False,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,C141,OTHER,uV,SI volts for voltage channels,2718016,0,-0.006639819684138247,0.008711,False,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,C142,OTHER,uV,SI volts for voltage channels,2718016,0,-0.008509757091630427,0.008711,False,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,C143,OTHER,uV,SI volts for voltage channels,2718016,0,-0.008166022507057297,0.00807031914244297,False,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,C144,OTHER,uV,SI volts for voltage channels,2718016,0,-0.008711,0.008711,False,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL,ALL_SAMPLES
