variant,seed,epoch,train_loss,validation_loss,status
kernel_31,33,6,3.821306735277176,3.8342881202697754,PASS
kernel_31,33,7,3.8182565569877625,3.835057258605957,PASS
kernel_31,33,8,3.8197411745786667,3.8353349566459656,PASS
event_baseline,11,1,4.054251566529274,3.9026954770088196,PASS
event_baseline,11,2,3.8531278371810913,3.841472327709198,PASS
event_baseline,11,3,3.8279475569725037,3.8356894850730896,PASS
event_baseline,11,4,3.8237268775701523,3.8392043709754944,PASS
event_baseline,11,5,3.8197293281555176,3.8323904871940613,PASS
event_baseline,11,6,3.819432571530342,3.8359248638153076,PASS
event_baseline,11,7,3.818754643201828,3.832513213157654,PASS
event_baseline,11,8,3.815773084759712,3.8318270444869995,PASS
event_baseline,22,1,4.15005649626255,3.9588904976844788,PASS
event_baseline,22,2,3.882687881588936,3.8548988103866577,PASS
event_baseline,22,3,3.8296851068735123,3.8545063734054565,PASS
event_baseline,22,4,3.8221502900123596,3.820063054561615,PASS
event_baseline,22,5,3.7977007627487183,3.797689378261566,PASS
event_baseline,22,6,3.7356343120336533,3.7109707593917847,PASS
event_baseline,22,7,3.6446385979652405,3.756953239440918,PASS
event_baseline,22,8,3.5640131384134293,3.5804068446159363,PASS
event_baseline,33,1,4.026570752263069,3.8708556294441223,PASS
event_baseline,33,2,3.8510547280311584,3.8302180767059326,PASS
event_baseline,33,3,3.816371366381645,3.822229564189911,PASS
event_baseline,33,4,3.7790664583444595,3.7655746936798096,PASS
event_baseline,33,5,3.6811813414096832,3.678511083126068,PASS
event_baseline,33,6,3.597861811518669,3.619282364845276,PASS
event_baseline,33,7,3.542601153254509,3.5805007815361023,PASS
event_baseline,33,8,3.4947774708271027,3.562298357486725,PASS
explicit_change,11,1,4.060108885169029,3.913558006286621,PASS
explicit_change,11,2,3.8725794851779938,3.8564764261245728,PASS
explicit_change,11,3,3.836653247475624,3.837299406528473,PASS
explicit_change,11,4,3.8218822181224823,3.838136613368988,PASS
explicit_change,11,5,3.820894479751587,3.83331561088562,PASS
explicit_change,11,6,3.8186963349580765,3.833845853805542,PASS
explicit_change,11,7,3.816372960805893,3.8306530117988586,PASS
explicit_change,11,8,3.813983455300331,3.826888382434845,PASS
explicit_change,22,1,3.9279940128326416,3.8719505071640015,PASS
explicit_change,22,2,3.838048279285431,3.8390132188796997,PASS
explicit_change,22,3,3.826161876320839,3.8354271054267883,PASS
explicit_change,22,4,3.820382595062256,3.8355504274368286,PASS
explicit_change,22,5,3.8196721225976944,3.8343619108200073,PASS
explicit_change,22,6,3.8181569576263428,3.836508095264435,PASS
explicit_change,22,7,3.818267911672592,3.8339370489120483,PASS
explicit_change,22,8,3.818443864583969,3.8356109261512756,PASS
explicit_change,33,1,4.076245591044426,3.9156429767608643,PASS
explicit_change,33,2,3.8531931936740875,3.8395912051200867,PASS
explicit_change,33,3,3.826175108551979,3.8356895446777344,PASS
explicit_change,33,4,3.8198775947093964,3.833919584751129,PASS
explicit_change,33,5,3.817655026912689,3.8348605036735535,PASS
explicit_change,33,6,3.8179730027914047,3.8327784538269043,PASS
explicit_change,33,7,3.8157040923833847,3.830997407436371,PASS
explicit_change,33,8,3.816847085952759,3.8258292078971863,PASS
ordinary_second_branch,11,1,4.060077324509621,3.908925175666809,PASS
ordinary_second_branch,11,2,3.870603322982788,3.8535103797912598,PASS
ordinary_second_branch,11,3,3.835342824459076,3.8325570225715637,PASS
ordinary_second_branch,11,4,3.8203189969062805,3.8338069915771484,PASS
ordinary_second_branch,11,5,3.8096958994865417,3.8166261315345764,PASS
ordinary_second_branch,11,6,3.788686528801918,3.779171109199524,PASS
ordinary_second_branch,11,7,3.716874599456787,3.6863418221473694,PASS
ordinary_second_branch,11,8,3.608370929956436,3.602138936519623,PASS
ordinary_second_branch,22,1,3.9272911995649338,3.873270571231842,PASS
ordinary_second_branch,22,2,3.8376256823539734,3.8386431336402893,PASS
ordinary_second_branch,22,3,3.825803220272064,3.8360140323638916,PASS
ordinary_second_branch,22,4,3.8202484250068665,3.8354243636131287,PASS
ordinary_second_branch,22,5,3.819623738527298,3.8344621062278748,PASS
ordinary_second_branch,22,6,3.818149223923683,3.8364753127098083,PASS
ordinary_second_branch,22,7,3.8182641863822937,3.833698868751526,PASS
ordinary_second_branch,22,8,3.818281263113022,3.835243821144104,PASS
ordinary_second_branch,33,1,4.066586583852768,3.8825640082359314,PASS
ordinary_second_branch,33,2,3.8452812284231186,3.8381064534187317,PASS
ordinary_second_branch,33,3,3.825080096721649,3.8384302854537964,PASS
ordinary_second_branch,33,4,3.821349710226059,3.8348268866539,PASS
ordinary_second_branch,33,5,3.8169791996479034,3.833626627922058,PASS
ordinary_second_branch,33,6,3.8177753537893295,3.832267999649048,PASS
ordinary_second_branch,33,7,3.815212145447731,3.83115017414093,PASS
ordinary_second_branch,33,8,3.817231625318527,3.829894006252289,PASS
