variant,seed,magnitude_ms,probe,metric,value
delayed_growth,11,20.0,generalization,generalization_jitter_mae_ms,18.41696548461914
delayed_growth,11,20.0,generalization,generalization_relative_jitter_error,0.9208482503890991
delayed_growth,11,50.0,localization,localization_onset_mae_ms,92.50035095214844
delayed_growth,11,50.0,localization,localization_shift_recovery_mae_ms,49.939125061035156
delayed_growth,11,50.0,discrimination,discrimination_balanced_accuracy,0.5
delayed_growth,11,50.0,generalization,generalization_jitter_mae_ms,48.403594970703125
delayed_growth,11,50.0,generalization,generalization_relative_jitter_error,0.9680718779563904
delayed_growth,22,10.0,localization,localization_onset_mae_ms,92.62655639648438
delayed_growth,22,10.0,localization,localization_shift_recovery_mae_ms,10.002330780029297
delayed_growth,22,10.0,discrimination,discrimination_balanced_accuracy,0.5139544869042507
delayed_growth,22,10.0,generalization,generalization_jitter_mae_ms,8.308506965637207
delayed_growth,22,10.0,generalization,generalization_relative_jitter_error,0.8308507204055786
delayed_growth,22,20.0,localization,localization_onset_mae_ms,95.90939331054688
delayed_growth,22,20.0,localization,localization_shift_recovery_mae_ms,19.999927520751953
delayed_growth,22,20.0,discrimination,discrimination_balanced_accuracy,0.4816019813250881
delayed_growth,22,20.0,generalization,generalization_jitter_mae_ms,18.301101684570312
delayed_growth,22,20.0,generalization,generalization_relative_jitter_error,0.9150550961494446
delayed_growth,22,50.0,localization,localization_onset_mae_ms,109.50619506835938
delayed_growth,22,50.0,localization,localization_shift_recovery_mae_ms,50.080352783203125
delayed_growth,22,50.0,discrimination,discrimination_balanced_accuracy,0.49465869031086424
delayed_growth,22,50.0,generalization,generalization_jitter_mae_ms,48.30569839477539
delayed_growth,22,50.0,generalization,generalization_relative_jitter_error,0.9661139845848083
delayed_growth,33,10.0,localization,localization_onset_mae_ms,84.70966339111328
delayed_growth,33,10.0,localization,localization_shift_recovery_mae_ms,10.001800537109375
delayed_growth,33,10.0,discrimination,discrimination_balanced_accuracy,0.48317794270993064
delayed_growth,33,10.0,generalization,generalization_jitter_mae_ms,7.804912090301514
delayed_growth,33,10.0,generalization,generalization_relative_jitter_error,0.7804912328720093
delayed_growth,33,20.0,localization,localization_onset_mae_ms,85.02079772949219
delayed_growth,33,20.0,localization,localization_shift_recovery_mae_ms,19.99968719482422
delayed_growth,33,20.0,discrimination,discrimination_balanced_accuracy,0.5122525266509761
delayed_growth,33,20.0,generalization,generalization_jitter_mae_ms,17.81476402282715
delayed_growth,33,20.0,generalization,generalization_relative_jitter_error,0.8907381892204285
delayed_growth,33,50.0,localization,localization_onset_mae_ms,89.05868530273438
delayed_growth,33,50.0,localization,localization_shift_recovery_mae_ms,50.02588653564453
delayed_growth,33,50.0,discrimination,discrimination_balanced_accuracy,0.49487997314084275
delayed_growth,33,50.0,generalization,generalization_jitter_mae_ms,47.804866790771484
delayed_growth,33,50.0,generalization,generalization_relative_jitter_error,0.9560973644256592
parallel_multiscale,11,10.0,localization,localization_onset_mae_ms,85.89144897460938
parallel_multiscale,11,10.0,localization,localization_shift_recovery_mae_ms,9.999494552612305
parallel_multiscale,11,10.0,discrimination,discrimination_balanced_accuracy,0.5
parallel_multiscale,11,10.0,generalization,generalization_jitter_mae_ms,8.160486221313477
parallel_multiscale,11,10.0,generalization,generalization_relative_jitter_error,0.8160486221313477
parallel_multiscale,11,20.0,localization,localization_onset_mae_ms,87.01432037353516
parallel_multiscale,11,20.0,localization,localization_shift_recovery_mae_ms,19.999536514282227
parallel_multiscale,11,20.0,discrimination,discrimination_balanced_accuracy,0.5
parallel_multiscale,11,20.0,generalization,generalization_jitter_mae_ms,18.160484313964844
parallel_multiscale,11,20.0,generalization,generalization_relative_jitter_error,0.9080241918563843
parallel_multiscale,11,50.0,localization,localization_onset_mae_ms,94.66554260253906
parallel_multiscale,11,50.0,localization,localization_shift_recovery_mae_ms,49.999446868896484
parallel_multiscale,11,50.0,discrimination,discrimination_balanced_accuracy,0.5
parallel_multiscale,11,50.0,generalization,generalization_jitter_mae_ms,48.16054153442383
parallel_multiscale,11,50.0,generalization,generalization_relative_jitter_error,0.9632108211517334
parallel_multiscale,22,10.0,localization,localization_onset_mae_ms,84.99945831298828
parallel_multiscale,22,10.0,localization,localization_shift_recovery_mae_ms,9.999977111816406
parallel_multiscale,22,10.0,discrimination,discrimination_balanced_accuracy,0.5
parallel_multiscale,22,10.0,generalization,generalization_jitter_mae_ms,8.013571739196777
parallel_multiscale,22,10.0,generalization,generalization_relative_jitter_error,0.8013571500778198
parallel_multiscale,22,20.0,localization,localization_onset_mae_ms,85.46282196044922
parallel_multiscale,22,20.0,localization,localization_shift_recovery_mae_ms,19.999799728393555
parallel_multiscale,22,20.0,discrimination,discrimination_balanced_accuracy,0.5
parallel_multiscale,22,20.0,generalization,generalization_jitter_mae_ms,18.013559341430664
parallel_multiscale,22,20.0,generalization,generalization_relative_jitter_error,0.9006779789924622
parallel_multiscale,22,50.0,localization,localization_onset_mae_ms,89.9467544555664
parallel_multiscale,22,50.0,localization,localization_shift_recovery_mae_ms,49.99936294555664
parallel_multiscale,22,50.0,discrimination,discrimination_balanced_accuracy,0.5
parallel_multiscale,22,50.0,generalization,generalization_jitter_mae_ms,48.013545989990234
parallel_multiscale,22,50.0,generalization,generalization_relative_jitter_error,0.9602709412574768
parallel_multiscale,33,10.0,localization,localization_onset_mae_ms,85.05955505371094
parallel_multiscale,33,10.0,localization,localization_shift_recovery_mae_ms,9.998546600341797
parallel_multiscale,33,10.0,discrimination,discrimination_balanced_accuracy,0.5
parallel_multiscale,33,10.0,generalization,generalization_jitter_mae_ms,7.907319068908691
parallel_multiscale,33,10.0,generalization,generalization_relative_jitter_error,0.7907319068908691
parallel_multiscale,33,20.0,localization,localization_onset_mae_ms,85.64015197753906
parallel_multiscale,33,20.0,localization,localization_shift_recovery_mae_ms,19.998451232910156
parallel_multiscale,33,20.0,discrimination,discrimination_balanced_accuracy,0.5
parallel_multiscale,33,20.0,generalization,generalization_jitter_mae_ms,17.907320022583008
parallel_multiscale,33,20.0,generalization,generalization_relative_jitter_error,0.8953660130500793
parallel_multiscale,33,50.0,localization,localization_onset_mae_ms,90.57456970214844
parallel_multiscale,33,50.0,localization,localization_shift_recovery_mae_ms,50.00093078613281
parallel_multiscale,33,50.0,discrimination,discrimination_balanced_accuracy,0.5
parallel_multiscale,33,50.0,generalization,generalization_jitter_mae_ms,47.90730667114258
parallel_multiscale,33,50.0,generalization,generalization_relative_jitter_error,0.9581461548805237
rf_stride_coupled,11,10.0,localization,localization_onset_mae_ms,84.81253814697266
rf_stride_coupled,11,10.0,localization,localization_shift_recovery_mae_ms,10.188886642456055
rf_stride_coupled,11,10.0,discrimination,discrimination_balanced_accuracy,0.5111175857204195
rf_stride_coupled,11,10.0,generalization,generalization_jitter_mae_ms,8.182581901550293
rf_stride_coupled,11,10.0,generalization,generalization_relative_jitter_error,0.8182581663131714
rf_stride_coupled,11,20.0,localization,localization_onset_mae_ms,86.03126525878906
rf_stride_coupled,11,20.0,localization,localization_shift_recovery_mae_ms,20.00485610961914
rf_stride_coupled,11,20.0,discrimination,discrimination_balanced_accuracy,0.48860891903948805
rf_stride_coupled,11,20.0,generalization,generalization_jitter_mae_ms,18.189453125
rf_stride_coupled,11,20.0,generalization,generalization_relative_jitter_error,0.909472644329071
rf_stride_coupled,11,50.0,localization,localization_onset_mae_ms,92.39147186279297
rf_stride_coupled,11,50.0,localization,localization_shift_recovery_mae_ms,49.705230712890625
rf_stride_coupled,11,50.0,discrimination,discrimination_balanced_accuracy,0.4985273246142811
rf_stride_coupled,11,50.0,generalization,generalization_jitter_mae_ms,48.17695999145508
rf_stride_coupled,11,50.0,generalization,generalization_relative_jitter_error,0.963539183139801
rf_stride_coupled,22,10.0,localization,localization_onset_mae_ms,85.49154663085938
rf_stride_coupled,22,10.0,localization,localization_shift_recovery_mae_ms,10.415512084960938
rf_stride_coupled,22,10.0,discrimination,discrimination_balanced_accuracy,0.5
rf_stride_coupled,22,10.0,generalization,generalization_jitter_mae_ms,8.234786987304688
rf_stride_coupled,22,10.0,generalization,generalization_relative_jitter_error,0.8234786987304688
rf_stride_coupled,22,20.0,localization,localization_onset_mae_ms,87.7596435546875
rf_stride_coupled,22,20.0,localization,localization_shift_recovery_mae_ms,20.013458251953125
rf_stride_coupled,22,20.0,discrimination,discrimination_balanced_accuracy,0.5
rf_stride_coupled,22,20.0,generalization,generalization_jitter_mae_ms,18.235084533691406
rf_stride_coupled,22,20.0,generalization,generalization_relative_jitter_error,0.9117542505264282
rf_stride_coupled,22,50.0,localization,localization_onset_mae_ms,96.98738098144531
rf_stride_coupled,22,50.0,localization,localization_shift_recovery_mae_ms,49.844337463378906
rf_stride_coupled,22,50.0,discrimination,discrimination_balanced_accuracy,0.5
rf_stride_coupled,22,50.0,generalization,generalization_jitter_mae_ms,48.23154067993164
rf_stride_coupled,22,50.0,generalization,generalization_relative_jitter_error,0.9646308422088623
rf_stride_coupled,33,10.0,localization,localization_onset_mae_ms,98.52932739257812
rf_stride_coupled,33,10.0,localization,localization_shift_recovery_mae_ms,9.740554809570312
rf_stride_coupled,33,10.0,discrimination,discrimination_balanced_accuracy,0.46019137582040115
rf_stride_coupled,33,10.0,generalization,generalization_jitter_mae_ms,8.079315185546875
rf_stride_coupled,33,10.0,generalization,generalization_relative_jitter_error,0.8079315423965454
rf_stride_coupled,33,20.0,localization,localization_onset_mae_ms,101.8109130859375
rf_stride_coupled,33,20.0,localization,localization_shift_recovery_mae_ms,19.989452362060547
rf_stride_coupled,33,20.0,discrimination,discrimination_balanced_accuracy,0.5063300875290353
rf_stride_coupled,33,20.0,generalization,generalization_jitter_mae_ms,18.103221893310547
rf_stride_coupled,33,20.0,generalization,generalization_relative_jitter_error,0.9051610827445984
rf_stride_coupled,33,50.0,localization,localization_onset_mae_ms,115.6174545288086
rf_stride_coupled,33,50.0,localization,localization_shift_recovery_mae_ms,49.81389617919922
rf_stride_coupled,33,50.0,discrimination,discrimination_balanced_accuracy,0.4788331527461962
rf_stride_coupled,33,50.0,generalization,generalization_jitter_mae_ms,48.090206146240234
rf_stride_coupled,33,50.0,generalization,generalization_relative_jitter_error,0.9618041515350342
rf_dilation_decoupled,11,10.0,localization,localization_onset_mae_ms,85.32266998291016
rf_dilation_decoupled,11,10.0,localization,localization_shift_recovery_mae_ms,10.067939758300781
rf_dilation_decoupled,11,10.0,discrimination,discrimination_balanced_accuracy,0.5314205974360547
rf_dilation_decoupled,11,10.0,generalization,generalization_jitter_mae_ms,8.282292366027832
rf_dilation_decoupled,11,10.0,generalization,generalization_relative_jitter_error,0.8282292485237122
rf_dilation_decoupled,11,20.0,localization,localization_onset_mae_ms,86.61688995361328
rf_dilation_decoupled,11,20.0,localization,localization_shift_recovery_mae_ms,20.04578971862793
rf_dilation_decoupled,11,20.0,discrimination,discrimination_balanced_accuracy,0.48584767794237543
rf_dilation_decoupled,11,20.0,generalization,generalization_jitter_mae_ms,18.289709091186523
rf_dilation_decoupled,11,20.0,generalization,generalization_relative_jitter_error,0.9144854545593262
rf_dilation_decoupled,11,50.0,localization,localization_onset_mae_ms,94.42778015136719
rf_dilation_decoupled,11,50.0,localization,localization_shift_recovery_mae_ms,49.911338806152344
rf_dilation_decoupled,11,50.0,discrimination,discrimination_balanced_accuracy,0.5310635310635311
rf_dilation_decoupled,11,50.0,generalization,generalization_jitter_mae_ms,48.28068542480469
rf_dilation_decoupled,11,50.0,generalization,generalization_relative_jitter_error,0.9656137228012085
rf_dilation_decoupled,22,10.0,localization,localization_onset_mae_ms,87.52226257324219
rf_dilation_decoupled,22,10.0,localization,localization_shift_recovery_mae_ms,9.99300765991211
rf_dilation_decoupled,22,10.0,discrimination,discrimination_balanced_accuracy,0.4878396614120101
rf_dilation_decoupled,22,10.0,generalization,generalization_jitter_mae_ms,8.241951942443848
rf_dilation_decoupled,22,10.0,generalization,generalization_relative_jitter_error,0.8241952061653137
rf_dilation_decoupled,22,20.0,localization,localization_onset_mae_ms,89.81328582763672
rf_dilation_decoupled,22,20.0,localization,localization_shift_recovery_mae_ms,19.9991455078125
rf_dilation_decoupled,22,20.0,discrimination,discrimination_balanced_accuracy,0.4900241512452505
rf_dilation_decoupled,22,20.0,generalization,generalization_jitter_mae_ms,18.241409301757812
rf_dilation_decoupled,22,20.0,generalization,generalization_relative_jitter_error,0.9120704531669617
rf_dilation_decoupled,22,50.0,localization,localization_onset_mae_ms,100.82137298583984
rf_dilation_decoupled,22,50.0,localization,localization_shift_recovery_mae_ms,50.088905334472656
rf_dilation_decoupled,22,50.0,discrimination,discrimination_balanced_accuracy,0.5023425458208066
rf_dilation_decoupled,22,50.0,generalization,generalization_jitter_mae_ms,48.24912643432617
rf_dilation_decoupled,22,50.0,generalization,generalization_relative_jitter_error,0.9649825096130371
rf_dilation_decoupled,33,10.0,localization,localization_onset_mae_ms,91.08146667480469
rf_dilation_decoupled,33,10.0,localization,localization_shift_recovery_mae_ms,10.001140594482422
rf_dilation_decoupled,33,10.0,discrimination,discrimination_balanced_accuracy,0.49314543335582406
rf_dilation_decoupled,33,10.0,generalization,generalization_jitter_mae_ms,7.981136798858643
rf_dilation_decoupled,33,10.0,generalization,generalization_relative_jitter_error,0.7981137037277222
rf_dilation_decoupled,33,20.0,localization,localization_onset_mae_ms,93.22760772705078
rf_dilation_decoupled,33,20.0,localization,localization_shift_recovery_mae_ms,19.986934661865234
