variant,split,metric,mean,std,n_seeds
kernel_31,test_seen,jitter_magnitude_mae_ms,1.980359156926473,0.06954217217814025,3
kernel_31,test_seen,omission_detection_balanced_accuracy,0.5574222425675847,0.050800874114087534,3
kernel_31,test_seen,onset_timing_error_ms,85.46947733561198,2.2031942327894845,3
kernel_31,test_seen,phase_magnitude_mae_rad,0.5287792881329855,0.010562510159061528,3
kernel_31,test_seen,phase_shift_detection_balanced_accuracy,0.5,0.0,3
kernel_31,test_seen,rate_discrimination_balanced_accuracy,0.3024529114676174,0.06620239812152992,3
kernel_31,test_seen,rate_mae_hz,1.9010302623112996,0.17944479740757022,3
kernel_31,test_seen,regular_vs_jitter_balanced_accuracy,0.5105999338775717,0.00917986274448956,3
kernel_31,test_unseen,jitter_magnitude_mae_ms,2.5136636098225913,0.004929245497167727,3
kernel_31,test_unseen,omission_detection_balanced_accuracy,0.5829935712431475,0.07298081910797861,3
kernel_31,test_unseen,onset_timing_error_ms,79.12802632649739,3.4874621183434527,3
kernel_31,test_unseen,phase_magnitude_mae_rad,0.7722967465718588,0.023586269752325806,3
kernel_31,test_unseen,phase_shift_detection_balanced_accuracy,0.5,0.0,3
kernel_31,test_unseen,rate_mae_hz,2.108735958735148,0.13489696527864903,3
kernel_31,test_unseen,regular_vs_jitter_balanced_accuracy,0.5139631884236201,0.014066790519036752,3
kernel_31,test_unseen,unseen_jitter_mae_ms,2.5136636098225913,0.004929245497167727,3
kernel_31,test_unseen,unseen_phase_magnitude_mae_rad,0.7722967465718588,0.023586269752325806,3
kernel_31,test_unseen,unseen_rate_mae_hz,2.108735958735148,0.13489696527864903,3
kernel_7,test_seen,jitter_magnitude_mae_ms,1.9947211345036824,0.057531015410044066,3
kernel_7,test_seen,omission_detection_balanced_accuracy,0.5196866814170545,0.029115689593343326,3
kernel_7,test_seen,onset_timing_error_ms,85.27141825358073,0.6433624223288019,3
kernel_7,test_seen,phase_magnitude_mae_rad,0.5357551972071329,0.030812050660739644,3
kernel_7,test_seen,phase_shift_detection_balanced_accuracy,0.5,0.0,3
kernel_7,test_seen,rate_discrimination_balanced_accuracy,0.311403743315508,0.10769678131353844,3
kernel_7,test_seen,rate_mae_hz,1.8100562890370686,0.3150033654430266,3
