variant,seed,split,metric,value
uniform_local,33,test_unseen,phase_shift_detection_balanced_accuracy,0.5
uniform_local,33,test_unseen,onset_timing_error_ms,78.77735900878906
uniform_local,33,test_unseen,rate_mae_hz,1.710912823677063
uniform_local,33,test_unseen,jitter_magnitude_mae_ms,2.5080513954162598
uniform_local,33,test_unseen,phase_magnitude_mae_rad,0.7596331834793091
exponential_growth,11,test_seen,rate_discrimination_balanced_accuracy,0.2127704991087344
exponential_growth,11,test_seen,regular_vs_jitter_balanced_accuracy,0.4975051499198901
exponential_growth,11,test_seen,omission_detection_balanced_accuracy,0.5023422598611429
exponential_growth,11,test_seen,phase_shift_detection_balanced_accuracy,0.5
exponential_growth,11,test_seen,onset_timing_error_ms,84.56721496582031
exponential_growth,11,test_seen,rate_mae_hz,2.0088417530059814
exponential_growth,11,test_seen,jitter_magnitude_mae_ms,1.9468965530395508
exponential_growth,11,test_seen,phase_magnitude_mae_rad,0.5256496667861938
exponential_growth,11,test_unseen,unseen_rate_mae_hz,2.0293989181518555
exponential_growth,11,test_unseen,unseen_jitter_mae_ms,2.5404741764068604
exponential_growth,11,test_unseen,unseen_phase_magnitude_mae_rad,0.7797573208808899
exponential_growth,11,test_unseen,regular_vs_jitter_balanced_accuracy,0.484781405644715
exponential_growth,11,test_unseen,omission_detection_balanced_accuracy,0.5064058515430543
exponential_growth,11,test_unseen,phase_shift_detection_balanced_accuracy,0.5
exponential_growth,11,test_unseen,onset_timing_error_ms,77.76512145996094
exponential_growth,11,test_unseen,rate_mae_hz,2.0293989181518555
exponential_growth,11,test_unseen,jitter_magnitude_mae_ms,2.5404741764068604
exponential_growth,11,test_unseen,phase_magnitude_mae_rad,0.7797573208808899
exponential_growth,22,test_seen,rate_discrimination_balanced_accuracy,0.34316176470588233
exponential_growth,22,test_seen,regular_vs_jitter_balanced_accuracy,0.4842221713588159
exponential_growth,22,test_seen,omission_detection_balanced_accuracy,0.4980239566643778
exponential_growth,22,test_seen,phase_shift_detection_balanced_accuracy,0.5
exponential_growth,22,test_seen,onset_timing_error_ms,85.90042114257812
exponential_growth,22,test_seen,rate_mae_hz,1.9597675800323486
exponential_growth,22,test_seen,jitter_magnitude_mae_ms,1.9341886043548584
exponential_growth,22,test_seen,phase_magnitude_mae_rad,0.5256788730621338
exponential_growth,22,test_unseen,unseen_rate_mae_hz,2.0308451652526855
exponential_growth,22,test_unseen,unseen_jitter_mae_ms,2.5338449478149414
exponential_growth,22,test_unseen,unseen_phase_magnitude_mae_rad,0.7806065678596497
exponential_growth,22,test_unseen,regular_vs_jitter_balanced_accuracy,0.48807108159626145
exponential_growth,22,test_unseen,omission_detection_balanced_accuracy,0.5002137828882068
exponential_growth,22,test_unseen,phase_shift_detection_balanced_accuracy,0.5
exponential_growth,22,test_unseen,onset_timing_error_ms,78.53367614746094
exponential_growth,22,test_unseen,rate_mae_hz,2.0308451652526855
exponential_growth,22,test_unseen,jitter_magnitude_mae_ms,2.5338449478149414
exponential_growth,22,test_unseen,phase_magnitude_mae_rad,0.7806065678596497
exponential_growth,33,test_seen,rate_discrimination_balanced_accuracy,0.40966176470588234
exponential_growth,33,test_seen,regular_vs_jitter_balanced_accuracy,0.49016556038757914
exponential_growth,33,test_seen,omission_detection_balanced_accuracy,0.4905012588693065
exponential_growth,33,test_seen,phase_shift_detection_balanced_accuracy,0.5
exponential_growth,33,test_seen,onset_timing_error_ms,89.5670166015625
exponential_growth,33,test_seen,rate_mae_hz,1.8987782001495361
exponential_growth,33,test_seen,jitter_magnitude_mae_ms,2.0252394676208496
exponential_growth,33,test_seen,phase_magnitude_mae_rad,0.5690091848373413
exponential_growth,33,test_unseen,unseen_rate_mae_hz,1.9584243297576904
exponential_growth,33,test_unseen,unseen_jitter_mae_ms,2.521596908569336
exponential_growth,33,test_unseen,unseen_phase_magnitude_mae_rad,0.6979750394821167
exponential_growth,33,test_unseen,regular_vs_jitter_balanced_accuracy,0.49471192276947673
exponential_growth,33,test_unseen,omission_detection_balanced_accuracy,0.4782094156092049
exponential_growth,33,test_unseen,phase_shift_detection_balanced_accuracy,0.5
exponential_growth,33,test_unseen,onset_timing_error_ms,80.04327392578125
exponential_growth,33,test_unseen,rate_mae_hz,1.9584243297576904
exponential_growth,33,test_unseen,jitter_magnitude_mae_ms,2.521596908569336
exponential_growth,33,test_unseen,phase_magnitude_mae_rad,0.6979750394821167
delayed_growth,11,test_seen,rate_discrimination_balanced_accuracy,0.24007308377896613
delayed_growth,11,test_seen,regular_vs_jitter_balanced_accuracy,0.5
delayed_growth,11,test_seen,omission_detection_balanced_accuracy,0.4948653391317617
delayed_growth,11,test_seen,phase_shift_detection_balanced_accuracy,0.5
delayed_growth,11,test_seen,onset_timing_error_ms,85.11237335205078
delayed_growth,11,test_seen,rate_mae_hz,2.0062363147735596
delayed_growth,11,test_seen,jitter_magnitude_mae_ms,1.9484851360321045
delayed_growth,11,test_seen,phase_magnitude_mae_rad,0.5210299491882324
delayed_growth,11,test_unseen,unseen_rate_mae_hz,2.038148880004883
delayed_growth,11,test_unseen,unseen_jitter_mae_ms,2.5529541969299316
delayed_growth,11,test_unseen,unseen_phase_magnitude_mae_rad,0.7750855684280396
delayed_growth,11,test_unseen,regular_vs_jitter_balanced_accuracy,0.5
delayed_growth,11,test_unseen,omission_detection_balanced_accuracy,0.5131781880373204
delayed_growth,11,test_unseen,phase_shift_detection_balanced_accuracy,0.5
delayed_growth,11,test_unseen,onset_timing_error_ms,78.54737091064453
delayed_growth,11,test_unseen,rate_mae_hz,2.038148880004883
delayed_growth,11,test_unseen,jitter_magnitude_mae_ms,2.5529541969299316
delayed_growth,11,test_unseen,phase_magnitude_mae_rad,0.7750855684280396
delayed_growth,22,test_seen,rate_discrimination_balanced_accuracy,0.4134229055258467
delayed_growth,22,test_seen,regular_vs_jitter_balanced_accuracy,0.5050888838025482
delayed_growth,22,test_seen,omission_detection_balanced_accuracy,0.5381933318074311
delayed_growth,22,test_seen,phase_shift_detection_balanced_accuracy,0.5
delayed_growth,22,test_seen,onset_timing_error_ms,89.84371948242188
